valid_time,u10,v10,latitude,longitude
2023-01-01 00:00:00,-0.17321777,-1.5433502,19.600000000000847,75.5
2023-01-01 01:00:00,-0.4478302,-1.4451904,19.600000000000847,75.5
2023-01-01 02:00:00,-0.66030884,-1.2562866,19.600000000000847,75.5
2023-01-01 03:00:00,-0.6705475,-0.703949,19.600000000000847,75.5
2023-01-01 04:00:00,-1.2415009,-0.37930298,19.600000000000847,75.5
2023-01-01 05:00:00,-1.6598816,0.21099854,19.600000000000847,75.5
2023-01-01 06:00:00,-1.5919495,0.6417389,19.600000000000847,75.5
2023-01-01 07:00:00,-0.78808594,0.52505493,19.600000000000847,75.5
2023-01-01 08:00:00,-0.13119507,0.61660767,19.600000000000847,75.5
2023-01-01 09:00:00,0.4031067,0.6256256,19.600000000000847,75.5
2023-01-01 10:00:00,0.8331909,0.38015747,19.600000000000847,75.5
2023-01-01 11:00:00,1.0197601,-0.17677307,19.600000000000847,75.5
2023-01-01 12:00:00,0.9429016,-0.6220703,19.600000000000847,75.5
2023-01-01 13:00:00,0.9145355,-0.97628784,19.600000000000847,75.5
2023-01-01 14:00:00,0.44815063,-1.4303741,19.600000000000847,75.5
2023-01-01 15:00:00,-0.18429565,-2.5969696,19.600000000000847,75.5
2023-01-01 16:00:00,-0.84472656,-2.8673553,19.600000000000847,75.5
2023-01-01 17:00:00,-1.4423981,-2.7947235,19.600000000000847,75.5
2023-01-01 18:00:00,-1.7629852,-2.404419,19.600000000000847,75.5
2023-01-01 19:00:00,-1.6263428,-2.0578918,19.600000000000847,75.5
2023-01-01 20:00:00,-1.5948029,-1.7778778,19.600000000000847,75.5
2023-01-01 21:00:00,-1.5088043,-1.5362244,19.600000000000847,75.5
2023-01-01 22:00:00,-1.5652466,-1.1870728,19.600000000000847,75.5
2023-01-01 23:00:00,-1.5824127,-0.7259064,19.600000000000847,75.5
2023-01-02 00:00:00,-1.5455933,-0.39726257,19.600000000000847,75.5
2023-01-02 01:00:00,-1.3509064,-0.618515,19.600000000000847,75.5
2023-01-02 02:00:00,-1.1473694,-1.1413727,19.600000000000847,75.5
2023-01-02 03:00:00,-0.89360046,-0.7779846,19.600000000000847,75.5
2023-01-02 04:00:00,-1.318924,-0.28723145,19.600000000000847,75.5
2023-01-02 05:00:00,-1.6176605,0.23934937,19.600000000000847,75.5
2023-01-02 06:00:00,-1.5597992,0.5916443,19.600000000000847,75.5
2023-01-02 07:00:00,-1.2341156,0.68203735,19.600000000000847,75.5
2023-01-02 08:00:00,-0.57569885,0.72610474,19.600000000000847,75.5
2023-01-02 09:00:00,0.055526733,0.5600128,19.600000000000847,75.5
2023-01-02 10:00:00,0.51953125,0.21376038,19.600000000000847,75.5
2023-01-02 11:00:00,0.6203613,-0.10482788,19.600000000000847,75.5
2023-01-02 12:00:00,0.43972778,-0.21372986,19.600000000000847,75.5
2023-01-02 13:00:00,0.1660614,-0.36898804,19.600000000000847,75.5
2023-01-02 14:00:00,-0.24668884,-0.8273163,19.600000000000847,75.5
2023-01-02 15:00:00,-0.6056061,-1.3413696,19.600000000000847,75.5
2023-01-02 16:00:00,-0.9335327,-2.333374,19.600000000000847,75.5
2023-01-02 17:00:00,-1.3295288,-2.5053406,19.600000000000847,75.5
2023-01-02 18:00:00,-1.7634125,-2.2978363,19.600000000000847,75.5
2023-01-02 19:00:00,-1.98143,-1.9304657,19.600000000000847,75.5
2023-01-02 20:00:00,-2.0750427,-1.5345459,19.600000000000847,75.5
2023-01-02 21:00:00,-2.052536,-1.15448,19.600000000000847,75.5
2023-01-02 22:00:00,-2.0578613,-0.88157654,19.600000000000847,75.5
2023-01-02 23:00:00,-1.9328308,-0.613266,19.600000000000847,75.5
2023-01-03 00:00:00,-1.87117,-0.56536865,19.600000000000847,75.5
2023-01-03 01:00:00,-1.8572693,-0.49549866,19.600000000000847,75.5
2023-01-03 02:00:00,-1.7625275,-0.43162537,19.600000000000847,75.5
2023-01-03 03:00:00,-1.5356598,-0.15655518,19.600000000000847,75.5
2023-01-03 04:00:00,-1.9677277,0.34674072,19.600000000000847,75.5
2023-01-03 05:00:00,-2.1027832,1.0313721,19.600000000000847,75.5
2023-01-03 06:00:00,-1.7603607,1.669754,19.600000000000847,75.5
2023-01-03 07:00:00,-0.9037323,1.4628296,19.600000000000847,75.5
2023-01-03 08:00:00,-0.2257843,1.4945984,19.600000000000847,75.5
2023-01-03 09:00:00,0.32855225,1.3683167,19.600000000000847,75.5
2023-01-03 10:00:00,0.57795715,1.1528778,19.600000000000847,75.5
2023-01-03 11:00:00,0.55792236,0.73876953,19.600000000000847,75.5
2023-01-03 12:00:00,0.121795654,-0.42575073,19.600000000000847,75.5
2023-01-03 13:00:00,-0.3755188,-1.5585938,19.600000000000847,75.5
2023-01-03 14:00:00,-0.64424133,-1.9236908,19.600000000000847,75.5
2023-01-03 15:00:00,-0.91843987,-2.018814,19.600000000000847,75.5
2023-01-03 16:00:00,-1.0720654,-2.1993103,19.600000000000847,75.5
2023-01-03 17:00:00,-1.3585606,-2.3870544,19.600000000000847,75.5
2023-01-03 18:00:00,-1.7705879,-2.3213959,19.600000000000847,75.5
2023-01-03 19:00:00,-2.1757622,-2.0382996,19.600000000000847,75.5
2023-01-03 20:00:00,-2.1829548,-1.9839325,19.600000000000847,75.5
2023-01-03 21:00:00,-1.8456516,-1.9442902,19.600000000000847,75.5
2023-01-03 22:00:00,-1.5313778,-1.8580627,19.600000000000847,75.5
